SalePrice,NumberOfUnits,CraigslistModel,YearSold,MonthSold,OverallQual,TotalSqFeet,GrLivArea,TotBathrooms,LotArea,ExterQual,FullBath,CentralAir,GarageTypeAttchd,GarageTypeBasment,GarageTypeBuiltIn,GarageTypeDetchd,GarageTypeNoGarage,NeighborhoodBrDale,NeighborhoodBrkSide,NeighborhoodClearCr,NeighborhoodCollgCr,NeighborhoodCrawfor,NeighborhoodEdwards,NeighborhoodGilbert,NeighborhoodIDOTRR,NeighborhoodMeadowV,NeighborhoodMitchel,NeighborhoodNAmes,NeighborhoodNoRidge,NeighborhoodNridgHt,NeighborhoodNWAmes,NeighborhoodOldTown,NeighborhoodSawyer,NeighborhoodSawyerW,NeighborhoodSomerst,NeighborhoodStoneBr,NeighborhoodSWISU,NeighborhoodTimber,NeighborhoodVeenker
208500.00000000125,4,186205.1668123808,2008,2,7,0.173772946453887,0.570119316635508,1.59023026893479,-0.10174373753289,4,0.78310230789909,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181499.99999999214,5,150822.2939495501,2007,5,6,0.120695794468695,-0.369465897003595,0.350929789511123,0.149409739393654,3,0.78310230789909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223500.00000000873,1,242601.33505942684,2008,9,7,0.344627602065365,0.704625883734758,1.59023026893479,0.461602819650799,4,0.78310230789909,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139999.99999999418,3,196967.16492398197,2011,2,7,0.055045152944703,0.582755400790198,-0.268720450200709,0.139131114879753,3,-1.02696855750633,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250000.00000000428,5,254263.98680006122,2008,12,8,1.02455291664198,1.34671468873897,1.59023026893479,0.928291794663635,4,0.78310230789909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142999.99999999357,3,138304.0734799277,2009,10,5,-0.383137994372791,-0.133637178385093,0.350929789511123,0.908173857601425,3,-1.02696855750633,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
306999.99999998946,1,314028.56663319387,2007,8,8,1.05995678232584,0.541041627783336,0.970580029222955,0.246227170082797,4,0.78310230789909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
200000.00000000538,3,243946.45285858578,2009,11,7,0.880920885990424,1.19085292451537,1.59023026893479,0.303552912536067,3,0.78310230789909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129900.00000000112,5,183568.07924921787,2008,4,7,0.368311282337994,0.683772798165611,-0.268720450200709,-0.736720321004098,3,0.78310230789909,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
117999.9999999997,4,129662.21228748737,2008,1,5,-0.52013466307256,-0.859648840658318,-0.268720450200709,-0.357599068096545,3,-1.02696855750633,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
